Designator,Mid X,Mid Y,Rotation,Layer
C1,170.84,-112.165,90.0,bottom
C10,60.05,-180.7325,270.0,bottom
C11,36.22,-173.87,90.0,bottom
C12,56.6,-180.7325,270.0,bottom
C13,47.68,-173.85,270.0,bottom
C14,56.6,-187.5325,90.0,bottom
C15,60.05,-187.5725,270.0,bottom
C16,206.25,-81.3,0.0,bottom
C17,206.2625,-84.025,180.0,bottom
C18,194.125,-142.275,0.0,bottom
C19,194.125,-145.05,180.0,bottom
C2,197.2625,-122.0,180.0,bottom
C20,248.175,-143.9,0.0,bottom
C21,248.2125,-146.65,180.0,bottom
C22,136.9625,-73.32,0.0,bottom
C23,136.975,-76.045,180.0,bottom
C24,80.125,-46.25,90.0,bottom
C25,35.42,-204.44,270.0,bottom
C26,28.8,-208.2,0.0,bottom
C3,192.025,-135.075,270.0,bottom
C32,90.8,-195.98,90.0,bottom
C33,90.83,-181.2,90.0,bottom
C34,106.4625,-197.15,180.0,bottom
C35,96.65,-169.69,180.0,bottom
C4,170.41,-136.5275,270.0,bottom
C5,194.45,-108.85,0.0,bottom
C6,175.9875,-143.5,180.0,bottom
C7,193.54,-115.785,90.0,bottom
C8,167.6,-136.5275,90.0,bottom
C9,154.37,-136.5775,270.0,bottom
D1,247.985,-81.75,0.0,top
D10,116.075,-208.95,180.0,top
D100,243.9,-29.975,0.0,top
D101,224.9,-29.975,0.0,top
D102,193.4,-57.275,0.0,top
D103,177.5,-91.275,0.0,top
D104,174.4,-57.25,0.0,top
D105,193.4,-29.975,0.0,top
D106,248.0,-91.275,0.0,top
D107,267.0,-91.275,0.0,top
D108,313.5,-39.725,0.0,top
D109,126.5,-48.525,0.0,top
D11,132.475,-200.0,90.0,top
D110,174.4,-29.975,0.0,top
D111,37.525,-76.325,180.0,top
D112,55.5,-76.3,180.0,top
D113,95.3875,-76.3,0.0,top
D114,77.55,-76.5,0.0,top
D115,117.55,-76.3,180.0,top
D116,135.425,-76.3,180.0,top
D117,126.4,-29.65,0.0,top
D118,126.4,-56.75,180.0,top
D119,105.975,-36.425,90.0,top
D12,148.025,-208.925,180.0,top
D120,174.5,-49.275,0.0,top
D121,193.5,-49.275,0.0,top
D122,225.0,-49.275,0.0,top
D123,244.0,-49.275,0.0,top
D124,263.0,-49.275,0.0,top
D125,294.5,-49.275,0.0,top
D126,308.5,-133.275,0.0,top
D127,313.5,-49.275,0.0,top
D128,202.0,-200.75,0.0,top
D129,206.5,-133.275,0.0,top
D13,148.05,-178.9,0.0,top
D130,201.985,-179.3,0.0,top
D131,244.0,-176.275,0.0,top
D132,275.5,-176.275,0.0,top
D133,307.0,-176.275,0.0,top
D134,106.0,-50.45,270.0,top
D135,84.975,-27.525,0.0,top
D136,126.475,-67.5,0.0,top
D137,85.0375,-67.5,0.0,top
D138,46.5,-67.525,0.0,top
D139,100.025,-108.85,0.0,top
D14,148.05,-191.1,180.0,top
D140,100.1,-151.425,0.0,top
D141,275.425,-150.05,0.0,top
D142,253.75,-108.85,0.0,top
D143,149.925,-37.475,90.0,top
D144,149.9,-77.5,90.0,top
D145,37.5,-142.8125,180.0,bottom
D146,176.375,-167.4875,90.0,top
D147,176.675,-195.05,90.0,top
D148,220.025,-159.9625,90.0,top
D149,226.175,-202.525,270.0,top
D15,115.95,-178.875,0.0,top
D150,240.0125,-149.975,0.0,top
D151,315.8,-149.975,0.0,top
D152,204.4375,-108.0,0.0,top
D153,316.725,-108.0,0.0,top
D154,67.525,-98.375,180.0,top
D155,113.4375,-98.375,180.0,top
D156,211.7125,-65.975,180.0,top
D157,276.575,-66.1,180.0,top
D158,52.5375,-150.025,180.0,top
D159,136.225,-149.975,180.0,top
D16,115.95,-191.1,180.0,top
D160,250.0,-194.95,180.0,top
D161,297.525,-195.0,180.0,top
D162,37.7975,-180.47,0.0,bottom
D163,89.0275,-187.8,0.0,bottom
D164,41.36,-204.78,90.0,bottom
D17,84.05,-178.875,0.0,top
D178,202.0,-169.75,0.0,top
D18,84.025,-191.075,180.0,top
D183,275.5,-166.725,0.0,top
D184,244.0,-166.725,0.0,top
D185,307.0,-166.725,0.0,top
D188,49.75,-123.725,0.0,top
D19,52.075,-178.9,0.0,top
D190,83.25,-123.725,0.0,top
D2,244.01,-39.725,0.0,top
D20,52.075,-191.575,180.0,top
D21,162.475,-170.0,90.0,top
D22,162.5,-200.025,90.0,top
D23,52.0,-161.125,0.0,top
D24,38.575,-170.0,90.0,top
D25,84.025,-161.125,0.0,top
D26,67.95,-170.075,90.0,top
D27,116.0,-161.125,0.0,top
D28,100.075,-170.0,90.0,top
D29,148.025,-161.1,0.0,top
D3,266.985,-81.75,0.0,top
D30,132.475,-170.025,90.0,top
D31,201.9,-152.3,180.0,top
D32,201.9,-161.375,0.0,top
D33,201.925,-190.025,180.0,top
D34,201.9,-218.275,0.0,top
D35,230.725,-210.0,90.0,top
D36,244.025,-218.925,180.0,top
D37,258.85,-209.95,90.0,top
D38,273.55,-218.925,180.0,top
D39,288.475,-209.95,90.0,top
D4,202.0,-210.3,0.0,top
D40,303.025,-218.9,180.0,top
D41,303.025,-201.125,180.0,top
D42,317.5,-210.0,270.0,top
D43,273.85,-201.125,0.0,top
D44,243.975,-201.125,0.0,top
D45,306.925,-158.5,0.0,top
D46,306.9,-185.5,180.0,top
D47,275.425,-158.5,0.0,top
D48,275.425,-185.5,0.0,top
D49,243.875,-158.5,0.0,top
D5,38.525,-199.975,90.0,top
D50,174.5,-39.725,0.0,top
D51,193.5,-39.725,0.0,top
D52,225.0,-39.725,0.0,top
D53,243.925,-185.5,180.0,top
D54,308.425,-115.0,0.0,top
D55,308.425,-140.75,0.0,top
D56,237.9,-115.0,0.0,top
D57,237.9,-140.75,180.0,top
D58,288.975,-133.05,270.0,top
D59,289.025,-112.475,90.0,top
D6,52.025,-208.95,180.0,top
D60,269.425,-115.0,0.0,top
D61,269.425,-140.775,180.0,top
D62,206.4,-115.0,0.0,top
D63,206.425,-140.775,180.0,top
D64,150.125,-114.75,0.0,top
D65,150.15,-140.75,180.0,top
D66,116.65,-114.75,0.0,top
D67,116.675,-140.75,180.0,top
D68,83.1,-114.75,0.0,top
D69,83.15,-140.75,180.0,top
D7,67.975,-200.025,90.0,top
D70,49.7,-114.75,0.0,top
D71,49.65,-140.75,180.0,top
D72,247.925,-98.775,180.0,top
D73,266.925,-98.775,180.0,top
D74,247.875,-72.525,180.0,top
D75,263.0,-39.725,0.0,top
D76,49.75,-133.275,0.0,top
D77,294.5,-39.725,0.0,top
D78,83.25,-133.275,0.0,top
D79,116.75,-133.275,0.0,top
D8,84.025,-208.95,180.0,top
D80,150.25,-133.275,0.0,top
D81,266.875,-72.5,180.0,top
D82,177.45,-72.525,0.0,top
D83,177.45,-98.675,0.0,top
D84,193.5,-71.025,90.0,top
D85,193.5,-92.75,270.0,top
D86,313.4,-57.25,0.0,top
D87,206.5,-123.725,0.0,top
D88,294.4,-57.25,0.0,top
D89,238.0,-123.725,0.0,top
D9,100.05,-200.0,90.0,top
D90,238.0,-133.275,0.0,top
D91,269.5,-123.725,0.0,top
D92,269.5,-133.275,0.0,top
D93,313.375,-30.0,0.0,top
D94,294.4,-30.0,0.0,top
D95,262.925,-29.975,0.0,top
D96,262.925,-57.225,180.0,top
D97,243.925,-57.25,180.0,top
D98,224.9,-57.25,0.0,top
D99,308.5,-123.725,0.0,top
I2C_1,86.02,-54.275,0.0,bottom
J1,214.75,-72.325,90.0,top
J2,299.77,-72.325,90.0,top
J3,47.78,-32.375,90.0,top
J4,82.16,-220.7,270.0,bottom
J5,24.3,-200.05,270.0,bottom
JP1,66.075,-220.625,270.0,bottom
P1,25.4225,-181.85,0.0,bottom
R1,58.89,-196.45,90.0,bottom
R10,83.95,-214.5,180.0,top
R11,116.025,-214.5,180.0,top
R12,147.975,-214.5,180.0,top
R13,151.05,-185.175,0.0,top
R14,118.975,-185.2,0.0,top
R15,87.075,-185.2,0.0,top
R16,55.125,-185.2,0.0,top
R17,164.025,-185.225,0.0,top
R18,32.55,-169.95,90.0,top
R19,69.525,-175.525,0.0,top
R2,37.97,-186.63,180.0,bottom
R20,101.625,-175.525,0.0,top
R21,134.025,-175.525,0.0,top
R22,201.9,-156.625,0.0,top
R23,187.55,-198.85,180.0,top
R24,243.95,-222.5,180.0,top
R25,273.475,-222.5,180.0,top
R26,302.975,-222.475,180.0,top
R27,319.05,-201.15,0.0,top
R28,239.775,-195.775,0.0,top
R29,325.75,-171.25,90.0,top
